detector,date,type,ccy,severity,description,caught,lag_days
breadth2sig,2010-05-09,policy,EUR,2,EU stabilisation package and EFSF announced,True,1.0
breadth2sig,2011-03-11,geopolitical,JPY,3,Tohoku earthquake and tsunami,True,7.0
breadth2sig,2011-03-18,intervention,JPY,2,G7 coordinated yen intervention after Tohoku,True,0.0
breadth2sig,2011-08-05,credit,USD,2,S&P downgrades the United States,True,3.0
breadth2sig,2011-09-06,intervention,CHF,3,SNB announces the EURCHF 1.20 floor,True,15.0
breadth2sig,2012-07-26,policy,EUR,2,Draghi: whatever it takes,False,
breadth2sig,2012-09-06,policy,EUR,2,ECB announces OMT,False,
breadth2sig,2013-04-04,policy,JPY,3,BOJ launches QQE,True,1.0
breadth2sig,2013-05-22,policy,USD,2,Bernanke taper tantrum,True,12.0
breadth2sig,2014-06-05,policy,EUR,2,ECB cuts the deposit rate below zero,False,
breadth2sig,2014-10-31,policy,JPY,2,BOJ surprise QQE expansion,False,
breadth2sig,2015-01-15,intervention,CHF,3,SNB abandons the EURCHF floor,True,0.0
breadth2sig,2015-08-11,policy,CNY,3,China devalues the yuan,True,13.0
breadth2sig,2016-01-29,policy,JPY,2,BOJ adopts negative interest rates,False,
breadth2sig,2016-06-23,vote,GBP,3,Brexit referendum,True,0.0
breadth2sig,2016-10-07,credit,GBP,2,Sterling flash crash,False,
breadth2sig,2016-11-08,vote,USD,2,US presidential election,False,
breadth2sig,2018-02-05,credit,,2,"Volatility complex blow-up, XIV termination",True,0.0
breadth2sig,2018-08-10,credit,,2,Turkish lira crisis,False,
breadth2sig,2019-08-05,policy,CNY,2,"Yuan breaks 7, US names China a currency manipulator",True,0.0
breadth2sig,2020-03-09,commodity,,3,Saudi-Russia oil price war,True,0.0
breadth2sig,2020-03-11,pandemic,,3,WHO declares a pandemic,True,1.0
breadth2sig,2020-03-15,policy,USD,3,"Fed emergency cut to zero, swap lines reopened",True,1.0
paneldisp,2003-09-20,policy,,2,G7 Dubai communique calls for FX flexibility,False,
paneldisp,2004-03-16,intervention,JPY,2,Japan ends its record yen-selling campaign,True,15.0
paneldisp,2005-07-21,policy,CNY,2,China ends the dollar peg,True,0.0
paneldisp,2007-02-27,credit,,1,"Shanghai selloff, first carry-trade wobble",True,0.0
paneldisp,2007-08-09,credit,,3,"BNP Paribas freezes three funds, first carry unwind",True,0.0
paneldisp,2008-03-16,credit,USD,2,Bear Stearns sold to JPMorgan,True,1.0
paneldisp,2008-09-15,credit,,3,Lehman Brothers bankruptcy,True,0.0
paneldisp,2008-10-08,policy,,3,Coordinated global central bank rate cuts,True,0.0
paneldisp,2009-03-12,intervention,CHF,2,SNB intervenes to weaken the franc,False,
paneldisp,2009-03-18,policy,USD,2,"Fed announces Treasury purchases, QE1 expansion",False,
paneldisp,2010-04-23,credit,EUR,2,Greece formally requests a bailout,True,13.0
paneldisp,2010-05-06,credit,,1,US equity flash crash,True,0.0
paneldisp,2010-05-09,policy,EUR,2,EU stabilisation package and EFSF announced,True,1.0
paneldisp,2011-03-11,geopolitical,JPY,3,Tohoku earthquake and tsunami,False,
paneldisp,2011-03-18,intervention,JPY,2,G7 coordinated yen intervention after Tohoku,False,
paneldisp,2011-08-05,credit,USD,2,S&P downgrades the United States,True,3.0
paneldisp,2011-09-06,intervention,CHF,3,SNB announces the EURCHF 1.20 floor,True,0.0
paneldisp,2012-07-26,policy,EUR,2,Draghi: whatever it takes,False,
paneldisp,2012-09-06,policy,EUR,2,ECB announces OMT,False,
paneldisp,2013-04-04,policy,JPY,3,BOJ launches QQE,True,0.0
paneldisp,2013-05-22,policy,USD,2,Bernanke taper tantrum,True,12.0
paneldisp,2014-06-05,policy,EUR,2,ECB cuts the deposit rate below zero,False,
paneldisp,2014-10-31,policy,JPY,2,BOJ surprise QQE expansion,True,0.0
paneldisp,2015-01-15,intervention,CHF,3,SNB abandons the EURCHF floor,True,0.0
paneldisp,2015-08-11,policy,CNY,3,China devalues the yuan,True,13.0
paneldisp,2016-01-29,policy,JPY,2,BOJ adopts negative interest rates,False,
paneldisp,2016-06-23,vote,GBP,3,Brexit referendum,True,1.0
paneldisp,2016-10-07,credit,GBP,2,Sterling flash crash,False,
paneldisp,2016-11-08,vote,USD,2,US presidential election,False,
paneldisp,2018-02-05,credit,,2,"Volatility complex blow-up, XIV termination",True,0.0
paneldisp,2018-08-10,credit,,2,Turkish lira crisis,False,
paneldisp,2019-08-05,policy,CNY,2,"Yuan breaks 7, US names China a currency manipulator",True,0.0
paneldisp,2020-03-09,commodity,,3,Saudi-Russia oil price war,True,0.0
paneldisp,2020-03-11,pandemic,,3,WHO declares a pandemic,True,1.0
paneldisp,2020-03-15,policy,USD,3,"Fed emergency cut to zero, swap lines reopened",True,1.0
legdiv20,2003-09-20,policy,,2,G7 Dubai communique calls for FX flexibility,True,10.0
legdiv20,2004-03-16,intervention,JPY,2,Japan ends its record yen-selling campaign,True,0.0
legdiv20,2005-07-21,policy,CNY,2,China ends the dollar peg,False,
legdiv20,2007-02-27,credit,,1,"Shanghai selloff, first carry-trade wobble",False,
legdiv20,2007-08-09,credit,,3,"BNP Paribas freezes three funds, first carry unwind",True,0.0
legdiv20,2008-03-16,credit,USD,2,Bear Stearns sold to JPMorgan,False,
legdiv20,2008-09-15,credit,,3,Lehman Brothers bankruptcy,True,2.0
legdiv20,2008-10-08,policy,,3,Coordinated global central bank rate cuts,True,0.0
legdiv20,2009-03-12,intervention,CHF,2,SNB intervenes to weaken the franc,False,
legdiv20,2009-03-18,policy,USD,2,"Fed announces Treasury purchases, QE1 expansion",False,
legdiv20,2010-04-23,credit,EUR,2,Greece formally requests a bailout,False,
legdiv20,2010-05-06,credit,,1,US equity flash crash,True,12.0
legdiv20,2010-05-09,policy,EUR,2,EU stabilisation package and EFSF announced,True,9.0
legdiv20,2011-03-11,geopolitical,JPY,3,Tohoku earthquake and tsunami,False,
legdiv20,2011-03-18,intervention,JPY,2,G7 coordinated yen intervention after Tohoku,False,
legdiv20,2011-08-05,credit,USD,2,S&P downgrades the United States,True,0.0
legdiv20,2011-09-06,intervention,CHF,3,SNB announces the EURCHF 1.20 floor,True,0.0
legdiv20,2012-07-26,policy,EUR,2,Draghi: whatever it takes,False,
legdiv20,2012-09-06,policy,EUR,2,ECB announces OMT,False,
legdiv20,2013-04-04,policy,JPY,3,BOJ launches QQE,False,
legdiv20,2013-05-22,policy,USD,2,Bernanke taper tantrum,True,15.0
legdiv20,2014-06-05,policy,EUR,2,ECB cuts the deposit rate below zero,False,
legdiv20,2014-10-31,policy,JPY,2,BOJ surprise QQE expansion,True,12.0
legdiv20,2015-01-15,intervention,CHF,3,SNB abandons the EURCHF floor,True,0.0
legdiv20,2015-08-11,policy,CNY,3,China devalues the yuan,False,
legdiv20,2016-01-29,policy,JPY,2,BOJ adopts negative interest rates,False,
legdiv20,2016-06-23,vote,GBP,3,Brexit referendum,True,1.0
legdiv20,2016-10-07,credit,GBP,2,Sterling flash crash,False,
legdiv20,2016-11-08,vote,USD,2,US presidential election,False,
legdiv20,2018-02-05,credit,,2,"Volatility complex blow-up, XIV termination",False,
legdiv20,2018-08-10,credit,,2,Turkish lira crisis,False,
legdiv20,2019-08-05,policy,CNY,2,"Yuan breaks 7, US names China a currency manipulator",False,
legdiv20,2020-03-09,commodity,,3,Saudi-Russia oil price war,True,0.0
legdiv20,2020-03-11,pandemic,,3,WHO declares a pandemic,True,0.0
legdiv20,2020-03-15,policy,USD,3,"Fed emergency cut to zero, swap lines reopened",True,1.0
avgcorr60,2003-09-20,policy,,2,G7 Dubai communique calls for FX flexibility,False,
avgcorr60,2004-03-16,intervention,JPY,2,Japan ends its record yen-selling campaign,False,
avgcorr60,2005-07-21,policy,CNY,2,China ends the dollar peg,False,
avgcorr60,2007-02-27,credit,,1,"Shanghai selloff, first carry-trade wobble",True,6.0
avgcorr60,2007-08-09,credit,,3,"BNP Paribas freezes three funds, first carry unwind",False,
avgcorr60,2008-03-16,credit,USD,2,Bear Stearns sold to JPMorgan,False,
avgcorr60,2008-09-15,credit,,3,Lehman Brothers bankruptcy,True,14.0
avgcorr60,2008-10-08,policy,,3,Coordinated global central bank rate cuts,True,13.0
avgcorr60,2009-03-12,intervention,CHF,2,SNB intervenes to weaken the franc,False,
avgcorr60,2009-03-18,policy,USD,2,"Fed announces Treasury purchases, QE1 expansion",False,
avgcorr60,2010-04-23,credit,EUR,2,Greece formally requests a bailout,False,
avgcorr60,2010-05-06,credit,,1,US equity flash crash,False,
avgcorr60,2010-05-09,policy,EUR,2,EU stabilisation package and EFSF announced,False,
avgcorr60,2011-03-11,geopolitical,JPY,3,Tohoku earthquake and tsunami,True,7.0
avgcorr60,2011-03-18,intervention,JPY,2,G7 coordinated yen intervention after Tohoku,True,0.0
avgcorr60,2011-08-05,credit,USD,2,S&P downgrades the United States,False,
avgcorr60,2011-09-06,intervention,CHF,3,SNB announces the EURCHF 1.20 floor,False,
avgcorr60,2012-07-26,policy,EUR,2,Draghi: whatever it takes,False,
avgcorr60,2012-09-06,policy,EUR,2,ECB announces OMT,False,
avgcorr60,2013-04-04,policy,JPY,3,BOJ launches QQE,False,
avgcorr60,2013-05-22,policy,USD,2,Bernanke taper tantrum,False,
avgcorr60,2014-06-05,policy,EUR,2,ECB cuts the deposit rate below zero,False,
avgcorr60,2014-10-31,policy,JPY,2,BOJ surprise QQE expansion,False,
avgcorr60,2015-01-15,intervention,CHF,3,SNB abandons the EURCHF floor,False,
avgcorr60,2015-08-11,policy,CNY,3,China devalues the yuan,False,
avgcorr60,2016-01-29,policy,JPY,2,BOJ adopts negative interest rates,False,
avgcorr60,2016-06-23,vote,GBP,3,Brexit referendum,True,1.0
avgcorr60,2016-10-07,credit,GBP,2,Sterling flash crash,False,
avgcorr60,2016-11-08,vote,USD,2,US presidential election,False,
avgcorr60,2018-02-05,credit,,2,"Volatility complex blow-up, XIV termination",False,
avgcorr60,2018-08-10,credit,,2,Turkish lira crisis,True,0.0
avgcorr60,2019-08-05,policy,CNY,2,"Yuan breaks 7, US names China a currency manipulator",False,
avgcorr60,2020-03-09,commodity,,3,Saudi-Russia oil price war,False,
avgcorr60,2020-03-11,pandemic,,3,WHO declares a pandemic,False,
avgcorr60,2020-03-15,policy,USD,3,"Fed emergency cut to zero, swap lines reopened",False,
