# Chop score
# Respecting boundaries: pullback hold, failed breaks, time inside the band, midpoint crossings. Higher is more range-bound.
# Wide: dates down, 28 pairs across. Already lagged one bar -- do not shift again.
# Written by code/persist2.py. Read with pd.read_csv(path, index_col=0, parse_dates=True, comment='#').
date,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY
1999-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-04,0.619256,,,1.63024,1.92489,,,1.73289,,,0.183711,,0.687836,,,,,,,0.566581,-0.109792,,,,3.08751,,,
1999-06-07,0.619627,,,1.58468,1.87849,,,1.73707,,,0.161796,,0.688582,,,,,,,0.57782,-0.109892,,,,3.09219,,,
1999-06-08,0.573858,,,1.53734,1.83672,,,1.73407,,,0.139597,,0.645175,,,,,,,0.57744,-0.109727,,,,3.09219,,,
1999-06-09,1.5927,,,1.49249,3.92002,,,1.74454,,,0.135741,,0.610536,,,,,,,0.578208,-0.107932,,,,3.09215,,,
1999-06-10,1.54603,,,1.44492,3.9396,,,1.74299,,,0.136365,,0.568887,,,,,,,0.577635,-0.108268,,,,3.0916,,,0.650682
1999-06-11,2.56492,,,0.30727,3.93322,,,1.71685,,,-0.9436,,0.538307,,,,,,,0.573908,-0.107376,,,,3.09176,,,0.650642
1999-06-14,2.51879,,,0.259659,3.93554,,,1.67845,,,-0.944856,,0.500249,,,,,,,,-0.108844,,,,2.02202,,,0.650869
1999-06-15,3.53771,,,-0.879739,3.93357,,,2.74385,,,-0.93623,,1.61772,,,,,,,1.00579,-0.108799,,,,2.02219,,,
