knob,label,shipped,variant,agreement,kappa,sep_is,sep_oos,sep_oos_vs_shipped,median_run,flip_rate,median_dis_run,share_fully_relabelled,run_failure,rationale,rationale_tier,sensitivity
(control),"shipped, unperturbed",,none,1.0,1.0,0.08544821326153862,0.0991333913874276,0.0,20.0,0.03317790171289157,,0.0,False,n/a,,0.0
N,swing width N,19,15,0.7120680457589947,0.6086001457523713,0.11624993139110584,0.12179628302629866,0.022662891638871058,19.0,0.03671937408343453,7.0,0.20737981195671457,False,YES -- 16.4q. The swing width sets the measured lookback; 19 was locked for 21-bar range episodes over the last 5% of separation.,FULL,0.28793195424100526
N,swing width N,19,23,0.7584137127840654,0.6706814477083646,0.07329253550219397,0.08730758947311942,-0.011825801914308182,20.0,0.032400135196187826,7.0,0.2048962213943587,False,YES -- 16.4q. The swing width sets the measured lookback; 19 was locked for 21-bar range episodes over the last 5% of separation.,FULL,0.24158628721593456
dwell,confirmation dwell,5,4,0.9421440087249277,0.9212371259928093,0.09256806889001024,0.1020501669361461,0.0029167755487184976,17.0,0.03820152690380702,1.0,0.0,True,YES -- combined.py records it as fixed on persistence; dwell 1 flickers (3-bar median runs) and dwell 13 collapses the states.,FULL,0.05785599127507235
dwell,confirmation dwell,5,6,0.946817971612536,0.9275286399911136,0.0815801997472302,0.09459982235949693,-0.004533569027930673,22.0,0.02966416326706821,1.0,0.07007273372361185,False,YES -- combined.py records it as fixed on persistence; dwell 1 flickers (3-bar median runs) and dwell 13 collapses the states.,FULL,0.053182028387464
band,tercile hysteresis BAND,0.25,0.20,0.9870015173787282,0.9822968584056948,0.08689238827337102,0.09860682460529793,-0.0005265667821296727,20.0,0.03341180999277686,3.0,0.010643959552953698,False,Nothing in the code or the handoff.,NONE,0.01299848262127179
band,tercile hysteresis BAND,0.25,0.31,0.9833561534221242,0.9773295754829658,0.0856597278826679,0.09930518021463505,0.00017178882720744748,20.0,0.033121550322385826,4.0,0.016852935958843355,False,Nothing in the code or the handoff.,NONE,0.016643846577875765
act_cuts,activity tercile boundaries,"1/3, 2/3","0.25, 0.50",0.9229168766041695,0.8949805674754086,0.08156367571578771,0.09884825571439779,-0.00028513567302981824,20.0,0.03388788245786217,5.0,0.06652474720596062,False,"Equal thirds by construction, which is a rule rather than a fitted choice, but no comparison against other splits is on file.",PARTIAL,0.07708312339583046
act_cuts,activity tercile boundaries,"1/3, 2/3","0.417, 0.833",0.9184839629407895,0.888949599525943,0.08523451011849596,0.10000402114331088,0.0008706297558832704,20.0,0.033284216449844764,5.0,0.07486251552244101,False,"Equal thirds by construction, which is a rule rather than a fitted choice, but no comparison against other splits is on file.",PARTIAL,0.08151603705921051
score_q,score cut quantile,0.5,0.40,0.7974615256930118,0.7258407946351758,0.09091178787409956,0.10537754961612494,0.0062441582286973385,20.0,0.03402551911100157,7.0,0.1688841582401987,False,"DECIDED, not assumed -- scoreq.py. Candidates 0.40/0.45/0.50/0.55/0.60 judged on IS against a criterion declared before looking (separation on trend AND chop, median run ~20 bars, no state below 5% share, default wins ties). 0.40 won IS by 1.1 paired block-bootstrap SE, then LOST the holdout by 1.9 SE on identical rows -- worse on both axes (trend 0.1324 vs 0.1354, chop 0.1130 vs 0.1368). 0.50 stays: tested, median survived. See scoreq_decision.csv and scoreq_regression.csv.",FULL,0.20253847430698824
