currency,route,network,status,bytes,note,error
USD,us-treasury,github-actions,DATA,19098,"daily, has 2 Yr",
USD,fred-graph,github-actions,UNREACHABLE,0,keyless CSV host,timeout
USD,fred-api,github-actions,HTTP 400,0,needs a free api key,HTTP Error 400: Bad Request
EUR,ecb,github-actions,DATA,4310,"daily AAA curve, starts 2004-09",
JPY,mof,github-actions,DATA,1174446,"daily from 1974, Shift-JIS, Japanese era dates",
GBP,boe-glc,github-actions,DATA,39035542,"daily from 1979, 39 MB of xlsx",
CAD,boc-valet,github-actions,DATA,545,daily,
AUD,rba-f2,github-actions,DATA,200040,has an explicit 2 year bond column,
CHF,snb-daily,github-actions,DATA,5461632,"daily from 1988, 2J maturity",
NZD,rbnz-b2,github-actions,HTTP 403,0,bot-walled from the sandbox,HTTP Error 403: Forbidden
NZD,nz-dmo,github-actions,HTTP 403,0,Cloudflare challenge from the sandbox,HTTP Error 403: Forbidden
USD,yahoo-^TNX,github-actions,DATA,1652,"US 10y, already in the feed",
GBP,yahoo-GB2YR,github-actions,HTTP 404,0,speculative ticker,HTTP Error 404: Not Found
JPY,yahoo-2YY=F,github-actions,DATA,1551,"CBOT 2y yield future, US not JP",
