N,view,total_R,avg_annual_R,max_dd_R,sortino,sharpe,calmar,worst_month_R,n_trades,pct_2plus,max_sim,mean_corr,max_corr
5,excl,82.23,8.12,3.41,3.47,2.28,24.1,-1.74,,63.4,5,0.0066,0.1049
5,allin,94.03,9.29,2.74,3.37,2.37,34.36,-1.3,,66.2,5,0.0067,0.1164
6,excl,80.24,7.93,3.14,3.72,2.44,25.53,-1.62,,70.7,6,0.0161,0.1091
6,allin,90.08,8.9,2.58,3.67,2.54,34.91,-1.08,,72.8,6,0.0145,0.1194
7,excl,79.37,7.84,2.33,3.81,2.45,34.09,-1.67,,77.3,7,0.027,0.1846
7,allin,88.42,8.73,1.76,3.76,2.55,50.22,-1.17,,79.3,7,0.0259,0.1985
8,excl,77.86,7.69,2.19,3.87,2.48,35.53,-1.46,,79.8,8,0.0509,0.5949
8,allin,85.91,8.49,1.67,3.88,2.59,51.58,-1.02,,81.5,8,0.049,0.5959
9,excl,76.93,7.58,2.17,4.12,2.54,35.45,-1.52,,83.2,9,0.0547,0.5956
9,allin,84.58,8.34,1.59,4.08,2.64,53.14,-1.13,,85.1,9,0.0525,0.5966
10,excl,77.0,7.59,2.21,4.35,2.58,34.82,-1.37,,86.3,10,0.0614,0.5964
10,allin,84.1,8.29,1.45,4.39,2.68,57.93,-1.02,,88.1,10,0.0583,0.5973
11,excl,78.67,7.76,1.4,5.04,2.7,56.2,-1.05,,89.0,11,0.0577,0.5973
11,allin,85.51,8.43,1.4,5.06,2.8,61.08,-0.8,,90.1,11,0.0553,0.5981
12,excl,77.74,7.66,1.28,5.06,2.75,60.58,-1.08,,91.2,11,0.0642,0.6308
12,allin,84.84,8.36,1.28,5.08,2.87,66.11,-0.79,,92.7,12,0.0606,0.5982
13,excl,76.89,7.58,1.71,5.23,2.79,44.87,-1.16,,91.9,12,0.0638,0.6313
13,allin,89.38,8.81,1.31,5.62,2.5,68.48,-0.88,,93.6,13,0.0539,0.5986
14,excl,76.08,7.5,1.8,5.47,2.83,42.3,-1.07,,93.0,13,0.0591,0.6316
14,allin,87.39,8.61,1.48,5.73,2.54,59.01,-0.82,,94.6,14,0.0509,0.5989
15,excl,75.83,7.48,1.85,5.58,2.8,40.97,-1.07,,94.7,14,0.0647,0.6319
15,allin,92.91,9.16,1.39,6.28,1.85,66.91,-0.83,,95.7,15,0.0557,0.963
16,excl,75.67,7.46,1.99,5.83,2.81,38.02,-1.13,,95.8,15,0.0681,0.6322
16,allin,92.29,9.1,1.24,6.59,1.92,74.28,-0.91,,96.9,16,0.0587,0.963
17,excl,77.97,7.68,1.98,6.02,2.81,39.31,-1.12,,96.6,16,0.0692,0.6325
17,allin,94.48,9.31,1.54,6.84,2.02,61.53,-0.91,,97.5,17,0.0602,0.963
18,excl,79.55,7.84,2.01,6.55,2.92,39.54,-1.17,,97.6,17,0.0663,0.633
18,allin,96.24,9.48,1.49,7.45,2.15,64.4,-0.97,,98.3,18,0.0577,0.963
19,excl,78.58,7.74,1.97,6.67,2.99,39.91,-1.11,,98.0,18,0.0613,0.6332
19,allin,94.61,9.32,1.37,7.6,2.21,69.15,-0.92,,98.4,18,0.0532,0.963
20,excl,77.85,7.67,2.04,6.66,2.95,38.16,-1.2,,98.2,19,0.0668,0.6333
20,allin,93.14,9.18,1.42,7.52,2.24,65.38,-1.02,,98.5,19,0.0577,0.963
21,excl,77.18,7.6,1.82,6.73,2.95,42.47,-1.19,,98.3,20,0.0665,0.6334
21,allin,91.75,9.04,1.52,7.59,2.28,60.22,-1.02,,98.5,20,0.0577,0.963
22,excl,76.68,7.54,1.68,6.94,3.01,45.75,-1.14,,97.9,21,0.0641,0.6335
22,allin,91.14,8.97,1.12,7.81,2.35,81.37,-0.98,,98.4,21,0.0555,0.963
23,excl,76.05,7.48,1.66,7.01,3.03,45.72,-1.08,,97.9,22,0.0655,0.6336
23,allin,90.01,8.85,1.15,7.88,2.4,78.21,-0.92,,98.4,22,0.0566,0.963
24,excl,75.37,7.41,1.63,6.85,2.98,46.31,-1.07,,98.0,23,0.0726,0.7728
24,allin,88.75,8.73,1.09,7.71,2.41,81.09,-0.93,,98.5,23,0.0631,0.963
25,excl,74.97,7.37,1.57,7.11,3.02,47.89,-1.03,,98.2,24,0.0694,0.7729
25,allin,88.38,8.69,1.12,8.02,2.47,79.06,-0.89,,98.7,24,0.0607,0.963
