sid,pair,entry,exit,days,dir,legs,atr_len,atr_mult,entry_px,atr_entry,units,leg_match_resid,implied_cost_frac,table_cost_frac,cost_R,fill_mark,R_engine,R_from_marks,first_vote,fill_plus_1,checks,mismatches,status
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,EURAUD,2019-12-05,2019-12-06,2,1,2,33,1.0,1.62506,0.008933,5597.47,0.0,0.0001758176,0.0001758176,0.016,-0.016,-0.516,-0.516,2019-12-06,2019-12-06,5,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,NZDUSD,2016-03-10,2016-04-21,31,1,2,35,1.25,0.6669,0.009411,4250.32,0.0,0.0002559853,0.0002559853,0.0091,-0.0091,1.2695,1.2695,2016-03-11,2016-03-11,34,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,GBPCHF,2016-09-16,2016-10-25,28,-1,2,26,1.25,1.27471,0.012992,3078.9,0.0,0.0002660553,0.0002660553,0.0131,-0.0131,2.0432,2.0432,2016-09-19,2016-09-19,31,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,AUDCAD,2019-10-07,2019-10-11,5,-1,2,33,1.0,0.8962,0.005693,8782.86,0.0,0.0002446838,0.0002446838,0.0193,-0.0193,-0.5193,-0.5193,2019-10-08,2019-10-08,8,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,GBPJPY,2018-03-22,2018-03-27,4,-1,2,35,1.25,148.4,1.501416,26.64,0.0,0.0002035409,0.0002035409,0.0101,-0.0101,-0.6351,-0.6351,2018-03-23,2018-03-23,7,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,GBPNZD,2017-02-10,2017-03-08,19,-1,2,35,1.25,1.73405,0.020044,1995.63,0.0,0.0003142293,0.0003142293,0.0136,-0.0136,-0.6386,-0.6386,2017-02-13,2017-02-13,22,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,NZDJPY,2016-02-02,2016-02-15,10,-1,2,33,1.0,78.164,1.263864,39.56,0.0,0.0005747593,0.0002873796,0.0178,-0.0178,0.9117,0.9117,2016-02-03,2016-02-03,13,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,NZDCAD,2017-01-18,2017-01-24,5,1,2,26,1.25,0.94532,0.008338,4797.1,0.0,0.0003277417,0.0003277417,0.0186,-0.0186,1.0064,1.0064,2017-01-19,2017-01-19,8,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,CADCHF,2018-04-10,2018-05-02,17,1,2,20,1.1,0.75942,0.006458,7038.67,0.0,0.0003384645,0.0003384646,0.0199,-0.0199,1.3301,1.3301,2018-04-11,2018-04-11,20,0,ok
A-trend|trend|chandelier_exit_signals|price_momentum_oscilla,GBPJPY,2017-06-01,2017-06-02,2,1,2,35,1.25,143.462,1.391249,28.75,0.0,0.0002035409,0.0002035409,0.0105,-0.0105,-0.4267,-0.4267,2017-06-02,2017-06-02,5,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,GBPCAD,2020-03-27,2020-04-29,24,1,2,21,1.37,1.74137,0.028724,1270.58,0.0,0.0002447984,0.0002447984,0.0074,-0.0074,-0.1933,-0.1933,2020-03-30,2020-03-30,27,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,EURCAD,2019-12-31,2019-12-31,1,-1,2,28,1.0,1.45645,0.006799,7353.7,0.0,0.0001789288,0.0001789288,0.0192,-0.0192,-0.0192,-0.0192,,,5,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,NZDCHF,2016-02-25,2016-02-29,3,1,2,24,1.0,0.66582,0.01077,4642.59,0.0,0.0004533158,0.0004533158,0.014,-0.014,-0.514,-0.514,2016-02-26,2016-02-26,6,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,AUDNZD,2017-02-06,2017-02-08,3,-1,2,28,1.0,1.04611,0.00642,7787.74,0.0,0.0002971769,0.0002971769,0.0242,-0.0242,-0.5242,-0.5242,2017-02-07,2017-02-07,6,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,EURGBP,2020-04-01,2020-04-21,15,-1,2,21,1.37,0.88632,0.014145,2580.17,0.0,0.0002091624,0.0002091624,0.0066,-0.0066,0.1023,0.1023,2020-04-02,2020-04-02,18,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,EURCHF,2016-12-14,2016-12-19,4,-1,2,24,1.25,1.07498,0.005278,7578.99,0.0,0.0002013841,0.0002013841,0.0205,-0.0205,0.4795,0.4795,2016-12-15,2016-12-15,7,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,EURGBP,2017-10-26,2017-11-02,6,-1,2,24,1.0,0.88534,0.007092,7050.3,0.0,0.0002091624,0.0002091624,0.0131,-0.0131,-0.5131,-0.5131,2017-10-27,2017-10-27,9,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,CADCHF,2016-11-16,2016-11-21,4,1,2,24,1.25,0.74514,0.007761,5153.86,0.0,0.0003384645,0.0003384646,0.0162,-0.0162,0.4838,0.4838,2016-11-17,2016-11-17,7,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,AUDNZD,2017-07-11,2017-07-13,3,1,2,27,1.1,1.0571,0.006819,6666.05,0.0,0.0002971769,0.0002971769,0.023,-0.023,-0.573,-0.573,2017-07-12,2017-07-12,6,0,ok
B|trend|price_momentum_oscillator_signals|halftrend_signals|,GBPUSD,2016-04-05,2016-04-12,6,-1,2,24,1.0,1.41604,0.01484,3369.19,0.0,0.0001592483,0.0001592483,0.0076,-0.0076,-0.5076,-0.5076,2016-04-06,2016-04-06,9,0,ok
