H,shift,signal,to,so,ao,mo
5,1657,z_paneldisp_40,2.997629954740343,0.010293186394180642,0.6785714285714286,0.3931929993689534
5,1657,z_panelvol_40,3.341887303633522,0.011504197390984405,0.7142857142857143,0.8168546887298117
5,1657,z_panelvol_60,4.218841758817571,0.014482237150767296,0.6785714285714286,0.5102545471302481
5,1657,zz_bbw_D120,0.025746116467815744,8.857122171307408e-05,0.4642857142857143,-0.16054019310685144
5,1657,zz_bbw_W26,-0.5662767820031631,-0.0019449383192255976,0.6428571428571429,-0.19746062732273867
5,1657,zz_panelvol_D40,3.341887303633522,0.011504197390984405,0.7142857142857143,0.8168546887298117
5,1657,zz_paneldisp_D40,2.997629954740343,0.010293186394180642,0.6785714285714286,0.3931929993689534
5,1657,zz_panelvol_D60,4.218841758817571,0.014482237150767296,0.6785714285714286,0.5102545471302481
5,1657,zz_ppaneldisp_M3,2.712562608987181,0.00927130155781225,0.6785714285714286,-0.010425627887027559
5,1657,z_bbw_120,0.025746116467815744,8.857122171307408e-05,0.4642857142857143,-0.16054019310685144
5,1657,zz_tsexceed_D375,-2.6024266390806403,-0.008987878725588927,0.6071428571428571,-0.42892974638177533
5,1657,zz_coex3_D120,3.112846795572283,0.010674442630467518,0.6071428571428571,0.11806818520047101
5,1657,zz_coex2_D150,2.990473779058292,0.01022441951533326,0.7142857142857143,0.24981337981857024
5,1657,cx2_s40,3.4619529352450646,0.011856991870670575,0.7142857142857143,0.49072528816017447
5,1657,cx4_m375,2.691545993072073,0.009236637498633515,0.6071428571428571,0.670973826672361
5,1657,za_cx3_s25,1.6005050768971314,0.005524064682427332,0.6071428571428571,0.007584510897964413
5,1657,zb_dts_60_750,5.5718156311660065,0.019053303581838044,0.7857142857142857,0.1931566175845885
5,1657,zb_ats_60_750,5.377282209864572,0.018414125144743387,0.8214285714285714,0.12996083719181464
5,1657,zb_cx1.5_s90,3.0297264143615372,0.010446216690106536,0.7142857142857143,0.17811900450150417
5,1657,zb_cx2_s90,4.218147801536849,0.014557079828983133,0.7142857142857143,0.25031898840400246
5,1657,zb_cx2_m150,2.990473779058292,0.01022441951533326,0.7142857142857143,0.24981337981857024
5,1657,zb_cx3_x30,0.20165078944663375,0.0006909047523417366,0.5,0.3177384276207123
5,1657,zb_cx3_m120,3.112846795572283,0.010674442630467518,0.6071428571428571,0.11806818520047101
5,1657,zc_cx3_m50,0.6530147103383259,0.0022455013449432237,0.5357142857142857,0.5822527795281551
5,1657,zc_cx4_m40,0.10451043055426548,0.000360017867581941,0.5714285714285714,0.21219073275434475
5,1657,zd_cx3_x375,1.7978736792580743,0.009428163813658519,0.6428571428571429,0.2869135916583331
5,1657,zd_cx2_m75_pl,-1.9310652539922764,-0.007062514071522696,0.5714285714285714,-0.06570642261566255
5,1657,ra_cx2_x75,3.3338443775094366,0.011485473152722914,0.6071428571428571,0.26448056633337425
5,1657,ra_cx2.5_m10,3.105807150463353,0.010738336172454455,0.7142857142857143,0.2870017743979717
5,1657,ra_cx2.5_m120,0.6335782584462957,0.002177321551648126,0.5,0.33361675088014175
5,1657,ra_cx3_x40,2.144878331003351,0.007327305316359833,0.5714285714285714,0.3128139439592392
5,1657,rc_cx3_s30,1.5852202628798924,0.005478708562450585,0.4642857142857143,0.45471370174948916
5,1657,rd_cx2_m375,1.8814554710916584,0.006437501805614643,0.5357142857142857,0.1571858753128614
5,1657,ats_10_120_ph,-0.24992996225961656,-0.0009067561962823323,0.39285714285714285,-0.3423846396816618
5,1657,cx2_x10_ph,1.4688674774027837,0.005342130187063754,0.7142857142857143,0.2479930613233231
5,1657,cx2_s25_ph,6.5084516030620385,0.02352463529106097,0.8214285714285714,0.6111656608617376
5,1657,cx2.5_x20_ph,4.906677506622061,0.017721677396400515,0.75,0.9114875034235577
5,1657,cx3_m50_ph,3.193438186878289,0.011503401435183691,0.6785714285714286,0.8241118981979125
5,1657,cx3_m60_ph,4.5482362009615,0.016403083778701644,0.6785714285714286,0.9370287858479524
5,1657,dts_20_250_ch,0.8855934301361438,0.0030419462344550285,0.5,0.45390342061443567
5,1657,cx1.5_m5_ch,1.2036178158864619,0.004125372167412988,0.4642857142857143,-0.14077538562931116
5,1657,cx1.5_m10_ch,-0.038936793301250425,-0.00013342802931731734,0.5714285714285714,-0.26386200528398446
5,1657,cx1.5_m25_ch,-1.111532830113545,-0.0038098336326080617,0.5714285714285714,-0.3307465071065417
5,1657,cx1.5_m30_ch,0.0976222721650161,0.00033501513712874686,0.4642857142857143,-0.21822104043733764
5,1657,cx1.5_x150_ch,0.20258834659924377,0.0006966085850336201,0.5357142857142857,-0.2980029468850339
5,1657,cx2_s20_ch,-0.7861695782704708,-0.0027103705298625047,0.5357142857142857,0.005436185707674149
5,1657,za_rch60_250_ph,3.375711526610268,0.014683048661088605,0.6428571428571429,0.3838797435737177
5,1657,za_cx4_m750_ch,-2.384412792815906,-0.008150953514979298,0.6428571428571429,-0.15383751691212894
5,1657,zb_cx2_m30_ch,2.6641734724016404,0.009154760936519624,0.6071428571428571,0.42790279270480674
5,1657,zb_cx2_s90_ch,-0.16400322265738232,-0.0005667076746313504,0.5357142857142857,0.34401326783721714
5,1657,zb_cx2.5_m10_ch,5.3674589180182215,0.0185068761930145,0.75,0.47237637792739834
5,1657,zc_cx1.5_m50_ch,-0.5204704287727737,-0.0017846768301837401,0.5357142857142857,0.3121050975789675
5,1657,zc_cx1.5_m60_ch,-1.514205190399751,-0.005190996158470795,0.6071428571428571,0.04596391277954758
5,1657,zc_cx2_s150_ch,-2.9748117718544886,-0.010216829611373102,0.6785714285714286,0.14072445802076267
5,1657,zc_bvr_120_ch,-1.4920035905685767,-0.005115667613801833,0.5714285714285714,-0.1398789612086154
5,1657,ra_cx1.5_x30_ch,4.22192657708911,0.014536039786612776,0.75,0.8549095772565048
5,1657,ra_cx1.5_s75_ch,1.782950049739764,0.006168000305991184,0.5714285714285714,0.4241462454029396
5,1657,ra_cx2_x25_ch,4.914326513867257,0.016933186974544157,0.7142857142857143,0.5643699670247566
5,1657,ra_cx2_s60_ch,2.6316045151193004,0.009089126865958752,0.6428571428571429,0.6516055637245858
5,1657,ra_cx2_m75_ch,2.245680933055432,0.007713896728381686,0.5714285714285714,0.811797522673942
