item,fault,fix,check,status,detail
1,Vote-timing leak: a position voted on its fill day against that day's move,votes from the day after the fill; entry cost on the first voted day (l2walkfwd.vote_from_next_day),"any (pair, day) vote containing a same-day entrant halts the walk",PASS,default False; fill-day vote halts; synthetic book keeps 1 of 2 rows
2,Layer 1 one-bar lag: the state used on D must come from bars <= D-1,export.py shifts one bar; the interface header says so; regime_codes joins unshifted,header declares the lag; export.py shift(1); no second shift on the join,PASS,header declares the lag; perturbing the 2019-11-05 close leaves every axis dated 2019-11-05 unchanged and moves D+1; regime_codes joins unshifted
3,Settings vs scoring window: settings tuned on years reaching into the scoring window,"ip1 (to 2010) scores W2, ip2 (to 2015) scores W3; pilot P1<T1, P2<T2",tune_end < score_start asserted at import (l2walkfwd) and in the pilot,PASS,"W2 by ip1 (to 2010), W3 by ip2 (to 2015); pilot P1<T1, P2<T2; STEPS build<trade"
4,Field labels computed with sight of the trade years (crosses_label on W2+W3),gate2_cleanfield_4slice.csv labelled on W2 alone under ip1 (label_basis W2_ip1),label_basis uniform W2_ip1 on every field row,PASS,"8235 rows, label_basis W2_ip1 (2011-2015 under ip1 tuned to 2010) on every row"
5,"Random-entry null in a different mark convention from the real (no fill-day row, tid 0)",null writes a fill-day cost row and one tid per trade (offset 1e9),check_mark_convention in the null writer; a positive fill-day mark halts,PASS,null writes fill-day cost row + unique tid; a positive fill-day mark halts
6,Open positions at window boundaries,marks are daily increments truncated to the window; exits clipped to the era end,"marks lie in [entry, exit]; exit <= 2020-12-31; trade-year sums by calendar year",PASS,"1606206 trades: marks start on entry, end <= exit <= 2020-12-31; TY truncated by year"
7,Walk-forward: a decision reading a bar inside or after its trade block,"walk() asserts build end < trade start and disjoint played years, per step","halt on violation, in walk()",PASS,walk() halts if a build block reaches its trade block or shares a played year with it
8,Choices made on the build block not logged with their window,"decisions_<tag>.csv per real walk: window, passers, members, curve, scale, votes, mode",decisions log exists with the required columns,PASS,"decisions_routed_tirexcl_actweak.csv: 2 decisions, each with its build window"
9,Retention not reported,every walk KPI carries retention = trade-block median / build-block median; < 20% flagged FIT,code assert,PASS,every walk KPI carries retention = trade median / build median and flags < 20% as FIT
10,2021-2026 readable by Layer 2 modules,"l2sweep.load_pair, l2route states/px and l2carry sealed at 2020-12-31 unless FX_ALLOW_W4=1 (logged)",loader refuses past 2020-12-31 without the flag,PASS,load_pair ends 2020-12-31 without FX_ALLOW_W4; route and carry sealed; the flag prints when set
11,"Nulls not on the same field as the real, or changing the wrong thing","identity (year permutation), random-entry (routed to permitted bars), regime-shuffle (labels); WF_EXPECT_SIDS halts a field mismatch",three null stages present; field-count halt present,PASS,"identity, random-entry (routed to permitted bars) and regime-shuffle nulls exist; workers halt on a field mismatch"
12,Exit rule not the mode's own (mode B for everything),run_pair takes the mode from the config/sid and raises if unknown,sample per mode: the exit rule that fired matches the mode; any forbidden rule fails,PASS,"share of sampled strategies that fired their own rule: {'A': 0.7, 'B': 1.0, 'C': 0.9}; no forbidden rule fired; audit_exits_by_mode.csv"
13,Leg plans: two-leg trend / one-leg chop with each strategy's own multiples; leg 2 to its own exit,engine plan from the slice; leg 2 runs to trail/exit rule,leg accounting on the same sample,PASS,"trend: legs 1 and 2 present, leg 2 exits by its own rule; chop: single leg"
14,Layer 1 and Layer 2 on different bars,routing and the Scorer read layer1_states.csv only with the 5pm header,header assert on load,PASS,route and Scorer both assert the 5pm/lagged header on load
15,"Regime usage assumed, not measured; trend-in-range admitted",always-on stream + routed stream per strategy; dependence per strategy; tir=excl,TREND_STATES[excl] has no trend_in_range; dependence measured per strategy,PASS,tir=excl excludes trend_in_range; dependence per strategy in walkforward_regime_dependence_routed_tirexcl_actweak.csv (24 rows: inside vs outside regime)
16,Gross numbers on some path (delivery never charged costs),every scoring module calls load_costs; costs charged on the fill day,modules load costs; >99% of fill-day marks negative,PASS,every scoring module loads costs; 100.0% of fill-day marks carry a negative cost
17,Flat cross spread (4.2 pips) instead of measured per-pair spreads,costtable.py: cost_table_h17/h19/h22.csv from spread_by_hour.csv; FX_COST_TABLE picks; load_costs logs it,active table is the measured per-pair table at the chosen hour,PASS,"cost_table_h22.csv: measured at 22:00 NY, 28 pairs, majors median 1.59 bp, crosses 2.45 bp"
18,R not account-normalised on marks or on trade R,x atr_mult in the Scorer and the engine; engine halts if marks do not sum to R,unit assert in the engine; pickle consistency,PASS,"atr_mult applied to marks and R (Scorer and engine); marks sum to R, max gap 1.87e-05 over 1606206 trades"
19,Max drawdown pair-major in _agg,_agg sorts by entry date; undated calls report NaN,"synthetic test: chronological DD 2.0, undated NaN",PASS,_agg sorts by entry date before the equity curve (synthetic: 0.0 chronological vs 2.0 in given order); undated calls report NaN
20,Layer 4 v1/v2 own netting with the fill-day vote,retired to code/retired/; only l2walkfwd.Book builds books,grep for the old loop under code/ fails the pre-flight,PASS,"no per-(pair, day) netting loop outside retired/; only l2walkfwd.Book builds books"
21,Field file defaulted to the contaminated crosses_label field,--field-file required; first log line names it with per-slice counts; workers re-derive,code assert,PASS,walk halts without --field-file; first log line names the file and per-slice counts; workers re-derive and halt
22,B-chop sid spelled B-chop| in places,B|chop|... everywhere,no B-chop| id in the field or the pickles,PASS,no B-chop| ids; 917 B|chop| ids in the field
23,pipeline.py: export.py after persist.py; sc5-7 need signals.json on a cold build,export.py moved before persist.py; prep.py before sc5 and after,order parsed from pipeline.py,PASS,export.py before persist.py; prep.py before sc5/sc6/sc7 in pipeline.py
24,sc5 chop target never pooled by prep.py,prep.py pools qc*/nc*/vc* as cti/cto/cso/cao,signals.json records carry the chop-target fields,PASS,signals.json carries cti/cto/cso/cao; 156975 of 175634 records have a chop-target value
25,Silenced errors; git tree ops during a chain; logs in results/; launches not confirmed,l2nosilence.py; launch.sh confirms 60 s and refuses git ops while a chain runs; logs in ~/fx-data-logs,l2nosilence passes; no logs in results/ (CI failure log excepted); launch.sh exists,PASS,no silenced errors (l2nosilence); no logs in results/ except the CI failure log; launch.sh confirms 60 s; chains running now: 0
26,"Repo on the iCloud-synced volume (dataless files, read timeouts)",move the repo out of ~/Documents (Jack),repo path not under ~/Documents or ~/Desktop,PASS,"repo at /Users/jackcuster/fx-data, outside the iCloud-synced folders"
27,"Costs under-charged by the account-normalisation factor: R restated by x atr_mult, cost subtracted unscaled (median 20%, p90 46% too cheap)","the cost is multiplied by atr_mult wherever R is -- engine marks, refit marks, the Scorer objective",code assert in all three paths + the arithmetic identity cost == f x px / ATR at several atr_mult,PASS,"all three paths scale by atr_mult; scaled cost == f*px/ATR at atr_mult 1.0, 1.2, 1.5 (unscaled it is that / atr_mult)"
